Include,posted_iso,Author,Headline,Summary,Tags,post_url
Y,4mo,Ketan Joshi,Reflections on the Iberian Blackout: A Call for Data-Driven Analysis Over Blame,"The post reflects on the Iberian Blackout of April 28th, noting a lack of factual data, but detailing two initial generation trips and a 15GW loss of generation, leading to a cascaded blackout across Spain and Portugal. The author argues that grid balancing systems failed, and it's critical to understand the likelihood of recurrence and improve black start systems. It explicitly states that renewables were not the cause, highlighting that networks should withstand multiple generator losses and that low inertia in high renewable grids can be managed with modern infrastructure like batteries. The core message is that 'the blame game is a waste of time' and emphasizes the need for facts, data analysis, and data-driven conclusions to adjust behaviors and system designs.","Science, Policies and Measures, Impacts",https://www.linkedin.com/posts/ketanjoshi1_there-is-still-so-little-factual-information-ugcPost-7323800643674996737-SNp8
Y,3mo,Frederic Hache,Debating Biodiversity Credits: Political Realism vs. Effective Conservation,"Frederic Hache recounts a discussion with an economist who supports biodiversity credits as the only politically realistic option, rejecting environmental legislation and redirecting harmful subsidies as 'maximalist demands'. The economist also opposed biodiversity offsetting but believed it was inevitable and should be improved, yet did not address Hache's points on the ineffectiveness and lack of environmental integrity of biodiversity markets and offsetting. Hache counters this view, arguing that radical change is necessary due to ecological crises, a majority of citizens are willing to change their lives for ecological crises, and historical achievements were once deemed 'politically unrealistic'. He suggests that support for biodiversity markets is politically motivated rather than fact-based.","Biodiversity, Economics, Policies and Measures, Impacts",https://www.linkedin.com/posts/frederic-hache-3b4120a_biodiversity-activity-7328071278454620161-45gV
Y,3mo,Lisa Sachs,Voluntary Carbon Markets: Conceptually Flawed and an Inefficient Distraction,"Lisa Sachs discusses Climate Farmers' decision to withdraw from carbon markets, agreeing that the voluntary carbon market (VCM) model is conceptually flawed. She argues that most carbon credits are purchased as offsets, creating a fiction that emissions in one place can be 'neutralized' by carbon-only removals elsewhere, ignoring localized harms and the true meaning of 'net zero'. Sachs highlights that many credits lack additionality or permanence, exaggerate impact, and divert financial and political capital from needed strategic financing frameworks. She concludes that VCMs are an inefficient, costly distraction, especially since countries often turn to them due to a failure in international community to mobilize proper financing for developing economies and ecosystem protection.","Carbon Accounting, Offsets, Economics, Policies and Measures, Impacts, Risk Disclosure",https://www.linkedin.com/posts/lisa-sachs_carbonmarkets-activity-7332099747123519488-R28s/
Y,3mo,Linda Kalcher,EU's 2040 Climate Goal and International Cooperation for COP30,"Linda Kalcher highlights the importance of the EU agreeing on a 90% climate target for 2040 and a 2035 plan before mid-July to encourage China's NDC submission for the EU-China summit. She stresses international cooperation, especially given the US retreat from multilateralism, and calls for strong safeguards for Article 6 projects, with the EU setting a 'gold standard' for emissions reduction and project quality. The European Commission can assess and include specifics on Article 6 credits in its 2040 policy framework. However, a commenter, Delia Villagrasa, argues that the EU should achieve its reductions domestically without external credits, citing concerns about fraud, permanence, and questionable credits in voluntary markets, and noting the EU's scientific advisory body recommends domestic targets.","Policies and Measures, Carbon Accounting, Economics, Science",https://www.linkedin.com/posts/linda-kalcher-210867b0_climate-china-cop30-activity-7331315696158580737-d6lK/
Y,3mo,Ingmar Rentzhog,Climate Warning to Brazil: Oil Expansion Contradicts COP30 Promises,"Ingmar Rentzhog issues a 'Climate Warning' to Brazil, exposing its massive oil expansion plan, which directly contradicts scientific advice and COP30 promises. Brazil's administration approved offshore oil drilling near the Amazon River, potentially releasing 2.35 billion tons of CO?, and backed a bill weakening environmental impact assessments. These actions undermine Brazil's climate commitments despite President Lula's previous emotional plea at COP28. Rentzhog emphasizes that while development is a right, expanding oil drilling and dismantling science-based regulation are acts of 'destruction,' not 'development,' calling for leaders to listen to science.","Policies and Measures, Impacts, Business Impacts, Risk Disclosure",No matching URL found in provided list.
Y,3mo,Mari Luomi,Harmonized Standards for CO? Storage Critical for Carbon Market Trust,"Mari Luomi emphasizes that carbon markets require trust, and geological CO? storage necessitates harmonized standards, particularly as it becomes central to climate strategies like CCS, DACCS, and BECCS. She warns that weak or fragmented national regulations, especially in emerging economies, could lead to a 'race to the bottom' and undermine the environmental integrity and credibility of carbon markets under Article 6. International standards lack specificity and enforceability, and the finalized Article 6 rulebook alone won't achieve the necessary regulatory harmonization. Luomi and Wolfgang Heidug propose an international regulatory club to align standards, manage long-term risks, and boost investor confidence, unlock climate finance for emerging economies, and accelerate storage deployment.","Carbon Accounting, Carbon Capture, Policies and Measures, Economics, Risk Disclosure",https://www.linkedin.com/posts/dr-mari-luomi_netzero-carbonmarkets-ccs-activity-7330536738936786944-gysf
Y,3mo,Will Alpine,AI's Electricity Demand Overstated and its Hidden Climate Impacts: Insights from Amory Lovins,"Will Alpine highlights Amory Lovins' paper, 'Artificial Intelligence Meets Natural Stupidity,' which challenges the narrative of runaway AI energy demand and exposes blind spots in AI's climate, energy, and financial impacts. Key takeaways include the overstatement of AI's electricity demand, the financial risk of overbuilding, and the recommendation to pair data centers with scalable renewables like solar, rather than fossil fuels. The paper also warns that AI is accelerating fossil fuel extraction, with these 'enabled impacts' potentially outweighing any energy-saving benefits and repeating historical failures leading to unneeded power plants and soaring consumer costs.","Energy Transition, Impacts, Economics, Science, New Reports",https://www.linkedin.com/posts/willalpine_ai-energypolicy-climaterisk-activity-7330983047665709058-QC1M
Y,3mo,Charles Cozette,Reliability of Early Warning Signals for Climate Tipping Points Requires Rigorous Testing,"Charles Cozette discusses research indicating that statistical early warning signals for climate tipping points need rigorous testing to prevent false alarms. The ambiguity arises because identical statistical changes can occur in systems approaching irreversible tipping points and those undergoing smooth, reversible transitions. Additionally, data quality issues can create misleading trends in up to 30% of climate datasets. Scientists propose a Bayesian framework to integrate prior knowledge with detected signals, aiming to better quantify tipping probabilities and avoid overconfidence in ambiguous warnings.","Science, Risk Disclosure, Impacts",https://www.linkedin.com/posts/charlescozette01_ambiguity-of-early-warnings-signals-for-tipping-ugcPost-7324845287934418944-8KlW
Y,3mo,Tim Clairs,The Problem with 'Carbon Neutral' Claims: Shifting to Contribution Claims for Climate Action Integrity,"Tim Clairs discusses the growing skepticism and litigation surrounding 'carbon neutral' claims, exemplified by EnergyAustralia's settlement and Apple's ongoing claims. He argues that the issue lies not with carbon credits themselves, but with the 'compensation claim' inherent in 'carbon neutrality,' which assumes offsets exactly counterbalance ongoing emissions, despite widespread issues with methodologies, additionality, and permanence. Clairs proposes an alternative: 'contribution claims,' where companies communicate support for climate mitigation beyond their value chain without implying full offset. He suggests that government programs like Climate Active and companies like Apple should validate climate contributions instead of certifying carbon neutrality to enhance transparency and avoid greenwashing.","Carbon Accounting, Offsets, Litigation, Business Impacts, Policies and Measures, Risk Disclosure, Communications",https://www.linkedin.com/pulse/copy-carbon-neutral-tim-clairs-dzzye/
Y,3mo,Zsolt Lengyel,Carbon Dioxide Removal: Beyond Private Cults to Public Accountability and Scalability,"Zsolt Lengyel argues that Carbon Dioxide Removal (CDR) cannot thrive as a private cult and demands transparency on energy consumption per ton and full life cycle impact assessment for engineered CDR. He asserts that the need for CO2 removal is directly linked to procrastination on mitigation, highlighting lessons from Climeworks' challenges. Lengyel questions whether CDR should be market-driven or managed as a public service, akin to sewage treatment, and calls for stakeholders' views on the regulatory environment needed to scale and speed up CDR before it's too late. He emphasizes that CDR should serve the public good, not merely venture capitalists.","Carbon Capture, Science, Economics, Policies and Measures, Risk Disclosure",No matching URL found in provided list.
